"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","372","test_api_rutas_recomendadas","tests","Tue May 20 14:51:03 COT 2025","passed","Tue May 20 14:51:04 COT 2025","TestVistaRutas","test_eco_guardian","",""
"Verifica que se pueda editar el estilo de vida","697","Prueba de edición de estilo de vida","tests","Tue May 20 14:50:59 COT 2025","passed","Tue May 20 14:50:59 COT 2025","ProfileTests","test_eco_guardian","",""
"Verifica que se pueda geocodificar una dirección correctamente","3","Prueba de geocodificación exitosa","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestGeocodificarDireccion","test_eco_guardian","",""
"","1","test_rutas_recomendadas_sin_login","tests","Tue May 20 14:51:10 COT 2025","passed","Tue May 20 14:51:10 COT 2025","","test_vistarutas","",""
"Verifica el proceso de reportar incendio","1328","Prueba de reporte de incendio","tests","Tue May 20 14:50:56 COT 2025","passed","Tue May 20 14:50:57 COT 2025","ReportTests","test_eco_guardian","",""
"","409","test_nombres_rutas","tests","Tue May 20 14:51:05 COT 2025","passed","Tue May 20 14:51:06 COT 2025","TestRutasData","test_eco_guardian","",""
"Verifica que se pueda acceder a la vista de incendios","394","Prueba de vista de incendios","tests","Tue May 20 14:51:09 COT 2025","passed","Tue May 20 14:51:09 COT 2025","TestVistaVerIncendios","test_ver_reportes","",""
"Verifica el manejo de errores de la API de geocodificación","5","Prueba de geocodificación con error de API","tests","Tue May 20 14:51:01 COT 2025","passed","Tue May 20 14:51:01 COT 2025","TestGeocodificarDireccion","test_eco_guardian","",""
"","282","test_vista_rutas","tests","Tue May 20 14:51:04 COT 2025","passed","Tue May 20 14:51:04 COT 2025","TestVistaRutas","test_eco_guardian","",""
"","383","test_coordenadas_validas","tests","Tue May 20 14:51:04 COT 2025","passed","Tue May 20 14:51:05 COT 2025","TestRutasData","test_eco_guardian","",""
"Verifica que se pueda reaccionar a un reporte estando autenticado","511","Prueba de reacción a reporte de polen autenticado","tests","Tue May 20 14:51:06 COT 2025","passed","Tue May 20 14:51:06 COT 2025","TestVistaVerPolen","test_ver_reportes","",""
